date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,0,1,0
03-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,1,0,0
03-09-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,1,0,1
05-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,0,0,1
04-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396240,0,1,0
09-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396193,0,1,0
09-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396240,1,0,0
11-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,2,0,0
12-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,2,0,0
15-09-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,2,0,0
13-09-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,1,0,0
16-09-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,1,0,0
19-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396235,1,0,0
19-09-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,1,0,0
18-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,1,0,0
18-09-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362520,0,0,1
24-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,1,0,0
24-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396235,1,0,0
25-09-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,1,0,0
26-09-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362520,1,0,0
13-10-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,1,0,0
31-10-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,1,1,0
02-11-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,4,0,0
02-11-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362570,1,0,0
12-11-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,1,0,0
14-11-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,2,0,0
13-11-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,1,0,0
13-11-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,2,1,0
18-11-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,1,0,0
18-11-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,1,0,0
15-12-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396235,1,0,0
22-12-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396240,1,0,0
24-12-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362570,1,0,0
01-01-2026,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396240,1,0,0
11-06-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,2,1,3
10-06-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,2,0,0
14-06-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,2,0,0
13-06-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,2,0,0
17-06-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,1,0,2
06-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,1,0,0
04-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,1,1,0
08-09-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,2,0,0
10-09-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,1,0,0
10-09-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,1,0,0
11-09-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,0,2,0
11-09-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362520,0,1,2
19-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,3,0,0
23-09-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,2,0,0
26-09-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396235,1,0,0
18-10-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,2,0,0
10-11-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,2,0,0
15-11-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,1,0,0
16-11-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,1,0,0
16-11-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,1,2,0
17-11-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396193,1,0,0
25-11-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,2,0,0
21-12-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,2,0,0
23-12-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,2,0,0
